psraid	int_date	area	state	tz	cregion	fips	msa	usr	usr1	form	sex	q1	q2	q3	q4	q5f1	q6a	q6b	q6cf1	q6df1	q6ff2	q6gf2	q6h	thought	precinct	oftvote	planto1	scale10	q8	q8a	q9f1	q10f2	q12	q13	q14	q15	q16	q17	q20	q21	q24	q25	q26a	q26b	q26c	q26df1	q26ef1	q26ff1	q26gf1	q26hf1	q26if1	q26jf2	q26kf2	q26lf2	q26mf2	q26nf2	q26of2	q27a	q27b	q27c	q27df1	q27ef1	q27ff1	q27gf1	q27hf1	q27if1	q27jf1	q27kf2	q27lf2	q27mf2	q27nf2	q27of2	q27pf2	q27qf2	q29f1	q30f2	q31	q40	q41	q42	q42x	q43	q44f1	q45f2	q46	q50	q51	q52	q53	q55	q56	q58	q59	q61	q62f1	q63f2	q64	q65	q66a	q66b	q66c	age	educ	hisp	race	marital	parent	relig	born	attend	religos	income	regist	regicert	party	partystr	partyln	q67	q68	ideo	pvote04a	pvote04b	employ	ownrent	labor	zipcode	contact	name	website	q2_1	q2_2	q2_3	q2vb	q5f1_1	q5f1_2	q5f1_3	q5f1vb	recage2	density3	rbcounty	recage	receduc	racethn	weight	attempt	fcall	partyid	ideology	male	white	black	unemployed	union	Income	education	income_i	religattend	ginicnty05_09	pctwht0610cnty	totpop0610cnty	pctblk0610cnty	medhinc0610cnty	pkerry	pbush04	partyid_01	ideology_01	education_01	income_i_01	religattend_01	ginicnty05_09_01	totpop0610cnty_01	pctblk0610cnty_01	medhinc0610cnty_01	pbush_01	Age	Income_01	divided	hispanic	asian	gender
277	90606	847	17	"c"	2	17097	16980	"S"	2	2	1	2	1	9	1		1	2			2	3		3	1	1	1	10	9	2		2	9	9	1	2	3	2	3	2	2	2	2	1	2							2	1	1	2	1	4	1	1	1								1	1	1	1	1	1	9		9	2	2	2	2		1		2	1	3	3	2	1	1	3	1	3	1		2	2	1	3	1	3	47	6	2	1	2	1	2	2	3		7	1	1	2	2			1	3	1	1	1	2	4	60030			1	55			"INVOLVEMENT IN ARMED FORCES"					2	4	3	4	4	1	1.7804878048780488	3	60906	2.0	3.0	1.0	1.0	0.0	0.0	0.0	7.0	6.0	7.0	4.0	0.474	76.83063	697179	6.660413	78948	0.49	0.51	0.25	0.5	0.8333333	0.75	0.6	0.51562506	0.071333125	0.0912985	0.60225016	0.46753243	47.0	0.75	0.0	0.0	0.0	1.0
91	90606	847	17	"c"	2	17097	16980	"S"	2	2	2	2	1	1	2		1	2			2	2		1	1	1	1	10	2			3	1	1	2	1	2	9	2	1	3	1	1	1	2							2	1	2	2	3	3	2	2	2								2	2	2	2	2	2	2		3	2	3	2	2		1		2	1	3	3	2	1	2	3	2	2	1		3	2	1	1	1	2	44	7	2	1	1	1	3		4		9	1	1	3		2		1	4	1	2	1	1	4	60089			1	60			"THE LYING ABOUT THE WAR"					2	4	3	3	4	1	2	1	60906	2.0	2.0	0.0	1.0	0.0	0.0	0.0	9.0	7.0	9.0	3.0	0.474	76.83063	697179	6.660413	78948	0.49	0.51	0.25	0.25	1.0	1.0	0.4	0.51562506	0.071333125	0.0912985	0.60225016	0.46753243	44.0	1.0	0.0	0.0	0.0	0.0
1389	90906	847	17	"c"	2	17097	16980	"S"	2	1	2	1	1	2	1	1	3	2	3	3			3	1	1	1	1	10	1		2		1	2	3	1	3	1	3	1	2	2	1	1	1	1	1	2	1	1	1							2	2	2	2	2	2	2	2	2	2								1		9	1	1	2	2	1	1		2	3	1	1	1	1	2	2	1	1	2		2	3	3	3	3	42	3	2	1	1	1	9		6		6	1	1	1	1		1		2	1	1	1	1	4	60002			1	17			"OUTRAGES SPENDING OF OUR SCHOOLS"	97			"LOCAL"	2	4	3	3	2	1	3.097560975609756	4	60908	5.0	4.0	0.0	1.0	0.0	0.0	0.0	6.0	3.0	6.0	1.0	0.474	76.83063	697179	6.660413	78948	0.49	0.51	1.0	0.75	0.33333334	0.625	0.0	0.51562506	0.071333125	0.0912985	0.60225016	0.46753243	42.0	0.625	1.0	0.0	0.0	0.0
294	90606	847	17	"c"	2	17097	16980	"S"	2	2	1	1	1	9	1		2	4			4	2		3	2	4	1	7	2			2	9	1	3	2	3	2	3	1	3	2	2	1	2							4	1	2	2	4	4	2	2	2								2	1	2	2	2	1	9		1	9	2	1	2		1		2	1	2	3	1	1	1	3	2	2	1		3	9	1	1	3	2	20	3	2	1	5	2	9		5		7	1	1	3		2		1	4	2		2	2	4	60030	1	1	2	60			"THE WAR"					1	4	3	1	2	1	4.2439024390243905	4	60906	2.0	2.0	1.0	1.0	0.0	0.0	0.0	7.0	3.0	7.0	2.0	0.474	76.83063	697179	6.660413	78948	0.49	0.51	0.25	0.25	0.33333334	0.75	0.2	0.51562506	0.071333125	0.0912985	0.60225016	0.46753243	20.0	0.75	1.0	0.0	0.0	1.0
295	90606	847	17	"c"	2	17097	16980	"S"	2	1	2	2	1	2	2	1	2	2	3	2				3	1	1	1	8	2		4		1	2	2	1	3	2	3	1	1	1	1	1	1	2	2	2	1	1	2							2	2	2	2	2	2	2	2	2	2								2		3	2	1	2		1	2		1	4	3	1	2	2	4	2	2	1	3		2	3	1	1	2	52	3	2	2	2	1	1	1	1		3	1	1	2	1			3	3	1	2	1	2	1	60085	1	1	2	60			"THE WAR"	1			"THE WAR"	3	4	3	4	2	2	1.6341463414634145	3	60906	1.0	3.0	0.0	0.0	1.0	0.0	1.0	3.0	3.0	3.0	6.0	0.474	76.83063	697179	6.660413	78948	0.49	0.51	0.0	0.5	0.33333334	0.25	1.0	0.51562506	0.071333125	0.0912985	0.60225016	0.46753243	52.0	0.25	1.0	0.0	0.0	0.0
203	90606	847	17	"c"	2	17097	16980	"S"	2	1	1	2	1	1	1	1	2	2	2	3				3	1	2	1	10	2		1		1	2	1	1	2	1	3	2	4	2	2	1	3	2	3	3	3	3	3							2	4	2	4	2	2	2	1	4	2								2		3	2	2	2		1	1		1	3	3	1	1	2	4	2	2	1	3		1	2	1	1	2	43	6	2	1	1	1	3		5		7	1	1	3		2		1	2	1	3	1	2	4	60048			1	43			"PRESIDENT"	25			"STEVE IRWIN"	2	4	3	3	4	1	1.5609756097560976	1	60906	2.0	4.0	1.0	1.0	0.0	0.0	0.0	7.0	6.0	7.0	2.0	0.474	76.83063	697179	6.660413	78948	0.49	0.51	0.25	0.75	0.8333333	0.75	0.2	0.51562506	0.071333125	0.0912985	0.60225016	0.46753243	43.0	0.75	1.0	0.0	0.0	1.0
232	90606	224	17	"c"	2	17111	16980	"S"	2	2	1	2	1	1	1		2	1			2	2		1	2	2	1	10	9	9		1	1	1	1	1	2	1	3	1	1	1	1	1	1							1	1	1	2	1	2	2	3	1								4	2	2	1	2	2	9		1	3	1	1	1		2		2	1	4	3	1	2	2	2	1	2	2		3	1	3	2	3	3	68	3	2	1	1	2	1	2	3		4	1	1	4		2		1	3	1	2	3	1	4	60142			2	60			"IRAQ"					4	3	5	6	2	1	1.6829268292682926	1	60906	2.0	3.0	1.0	1.0	0.0	1.0	0.0	4.0	3.0	4.0	4.0	0.385	90.52279	306050	1.0076785	76482	0.39	0.6	0.25	0.5	0.33333334	0.375	0.6	0.16796869	0.031246439	0.013812888	0.57547	0.5844156	68.0	0.375	1.0	0.0	0.0	1.0
408	90706	309	17	"c"	2	17113	14060	"U"	1	1	1	1	1	9	2	1	3	3	4	1			3	3	1	2	1	1	2		2		9	1	2	1	2	2	3	1	9	1	3	2	3	3	2	3	3	2	3							2	2	2	2	2	2	2	2	2	2								2		2	1	2	2	3	2	2		1	3	1	1	2	2	2	2	1	1	2		1	2	1	1	2	46	2	1	1	2	2	2	2	2		2	1	1	2	2			3	3	8		3	1	4	61704	1	1	2	47			"immi"	1			"war"	2	2	4	4	1	3	3.6097560975609757	4	60906	2.0	3.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	2.0	5.0	0.43	85.04313	166706	7.1377153	57642	0.42	0.58	0.25	0.5	0.16666667	0.125	0.8	0.34375003	0.016965117	0.09784119	0.37087193	0.5584415	46.0	0.125	1.0	1.0	0.0	1.0
561	90606	618	17	"c"	2	17119	41180	"S"	2	1	1	2	1	1	1	1	2	2	2	3				1	1	1	1	10	2		1		9	2	1	1	2	9	2	1	3	2	1	1	1	1	2	1	2	2	2							2	2	3	2	2	2	2	2	3	2								4		3	3	2	2		2	9		1	3	3	2	1	2	4	9	2	1	3		1	3	1	1	2	52	6	2	1	1	2	2	2	2		6	1	1	2	9			1	3	1	2	3	1	4	62097			1	62			"TERROISM"	6			"ENERGY CRISIS"	3	3	2	4	4	1	1.2682926829268293	1	60907	2.0	3.0	1.0	1.0	0.0	1.0	0.0	6.0	6.0	6.0	5.0	0.426	88.76178	268005	7.9804482	51941	0.51	0.48	0.25	0.5	0.8333333	0.625	0.8	0.328125	0.027347218	0.10939307	0.3089604	0.4285714	52.0	0.625	0.0	0.0	0.0	1.0
1159	90906	618	17	"c"	2	17119	41180	"S"	2	1	2	1	1	9	2	1	1	4	4	3			4	1	1	1	1	10	1		4		9	9	1	2	1	2	3	1	9	9	1	1	3	4	4	4	1	1	3							3	9	9	1	9	9	9	3	9	1								9		2	1	9	2	2	2	1		1	3	2	2	9	1	2	2	9	2	2		1	3	3	3	3	40	3	2	1	1	1	1	1	5		5	1	1	1	1		3		3	1	1	1	1	4	62040			2	60			"WAR IN IRAQ"	3			"HURRICANE KATRINA VICTIMS A YEAR AFTER"	2	3	2	3	2	1	3.4878048780487805	3	60907	5.0	3.0	0.0	1.0	0.0	0.0	0.0	5.0	3.0	5.0	2.0	0.426	88.76178	268005	7.9804482	51941	0.51	0.48	1.0	0.5	0.33333334	0.5	0.2	0.328125	0.027347218	0.10939307	0.3089604	0.4285714	40.0	0.5	0.0	0.0	0.0	0.0
1161	91006	618	17	"c"	2	17121	0	"R"	3	2	1	9	1	1	4		2	4			3	3	2	1	1	1	1	10	9	9		3	1	2	2	1	2	1	2	1	3	3	1	1	2							1	1	2	2	1	4	2	2	2								2	2	1	1	1	2	2		1	2	1	2	2	1	1		2	1	4	3	1	2	1	2	9	1	2		1	2	1	2	3	1	35	5	2	1	1	1	1	2	5		6	1	1	3		9			4	1	1	1	1	4	62849			2	1	4		"THE EONOMY...THE COST OF LIVING IS HIGHER THAN MOST OF THE PEOPLE ARE MAKING"					2	1	3	3	3	1	1.2926829268292683	9	60907	3.0	2.0	1.0	1.0	0.0	0.0	0.0	6.0	5.0	6.0	2.0	0.429	93.33367	39722	2.7591763	38974	0.45	0.55	0.5	0.25	0.6666667	0.625	0.2	0.33984372	0.003950567	0.037821777	0.16814178	0.5194805	35.0	0.625	1.0	0.0	0.0	1.0
861	91006	309	17	"c"	2	17123	37900	"S"	2	2	2	1	1	1	2		2	3			1	1	2	3	1	2	1	9	2			1	1	1	2	2	3	2	3	2	4	4	1	3	1							2	1	1	1	1	4	9	9	9								9	9	9	9	9	9	9		9	2	3	1	2	2	3		2	1	2	3	2	9	1	2	1	1	2		2	1	3	2	3	1	45	6	2	1	2	2	2	2	5		6	1	1	3		9			3	1	1	1	1	4	61537			2	76			"ENERGY CRISIS"					2	1	4	4	4	1	1.3658536585365855	8	60907	3.0	3.0	0.0	1.0	0.0	0.0	0.0	6.0	6.0	6.0	2.0	0.4	96.94429	12763	0.29773563	49116	0.43	0.57	0.5	0.5	0.8333333	0.625	0.2	0.22656251	0.0011875479	0.004081251	0.27828154	0.5454545	45.0	0.625	0.0	0.0	0.0	0.0
559	90706	618	17	"c"	2	17133	41180	"S"	2	1	2	1	1	1	4	1	1	1	1	1			1	3	1	1	1	10	1		4		1	1	2	1	9	2	3	2	1	1	1	2	2	2	2	2	1	2	1							1	3	1	3	3	3	1	3	1	1								3		3	1	2	1	2	1	1		2	2	1	2	3	1	1	1	9	2	2		1	1	2	3	3	68	5	2	1	2	2	1	9	1		2	1	1	4		1	3		3	1	1	3	1	4	62236			2	96			"MEDIA"	99			"ALL OF IT"	4	1	4	6	3	1	1	1	60907	4.0	3.0	0.0	1.0	0.0	1.0	0.0	2.0	5.0	2.0	6.0	0.368	98.15608	32431	0.13258919	68253	0.41	0.58	0.75	0.5	0.6666667	0.125	1.0	0.10156248	0.003203315	0.0018174842	0.48610494	0.5584415	68.0	0.125	0.0	0.0	0.0	0.0
1354	90906	815	17	"c"	2	17141	0	"R"	3	2	2	1	1	9	2		3	3			2	2	3	3	2	4	2	1	9	9		2	1	1	2	2	3	2	3	2	2	1	3	2	2							2	2	2	2	3	3	9	9	9								9	4	9	4	9	9	9		9	2	1	2	1	3	2		2	2	3	3	1	9	1	2	1	1	2		2	1	9	2	3	3	52	3	2	1	1	2	1	2	4		7	2		4		2		3	3	2		2	1	2	61030			2	62			"THE TERRORISM"					3	1	5	4	2	1	2.3658536585365852	12	60907	2.0	3.0	0.0	1.0	0.0	0.0	1.0	7.0	3.0	7.0	3.0	0.375	95.35257	53578	0.53006834	55733	0.37	0.62	0.25	0.5	0.33333334	0.75	0.4	0.12890624	0.005370664	0.0072659827	0.35014063	0.6103896	52.0	0.75	1.0	0.0	0.0	0.0
1158	90906	618	17	"c"	2	17159	0	"R"	3	1	1	2	1	1	1	1	1	2	1	3			4	1	1	1	1	10	2		1		2	1	1	1	3	2	3	1	2	3	1	1	1	2	3	1	1	1	1							2	2	1	1	1	2	1	1	1	1								1		2	1	2	1	2	1	1		2	1	3	2	1	1	1	2	1	1	1		1	2	3	3	3	31	3	2	1	5	2	1	1	3		1	1	1	3		1	3		3	1	1	3	1	4	62450			2	62			"Terrism"	4			"Iran"	2	1	5	2	2	1	2.658536585365854	5	60908	4.0	3.0	1.0	1.0	0.0	1.0	0.0	1.0	3.0	1.0	4.0	0.445	96.80811	16166	0.9588024	41917	0.33	0.66	0.75	0.5	0.33333334	0.0	0.6	0.40234372	0.0015363203	0.013142913	0.20010208	0.66233766	31.0	0.0	0.0	0.0	0.0	1.0
862	91006	309	17	"c"	2	17161	19340	"U"	1	1	2	2	1	2	2	1	3	3	3	3			3	3	1	1	1	10	2		2		2	2	1	1	2	2	3	1	1	1	3	3	3	2	4	3	1	1	3							2	2	2	2	9	2	2	2	2	2								2		3	2	1	2	4	3	2		2	3	3	1	1	1	2	2	3	1	2		2	3	3	3	2	42	6	2	2	1	1	7	1	2		4	1	1	2	1			1	2	1	1	1	1	4	61265	2		2	20			"durgs"	19			"kilings"	2	3	2	3	4	2	1.4878048780487805	7	60908	1.0	4.0	0.0	0.0	1.0	0.0	0.0	4.0	6.0	4.0	5.0	0.436	81.64095	147524	8.873133	46226	0.57	0.42	0.0	0.75	0.8333333	0.375	0.8	0.36718744	0.01499916	0.121629655	0.24689682	0.35064933	42.0	0.375	1.0	0.0	0.0	0.0
164	90606	309	17	"c"	2	17179	37900	"S"	2	2	2	2	9	9	2		2	4			2	1		3	1	1	9	10	2			2	1	2	2	1	3	2	3	1	2	1	1	2	1							1	1	3	3	1	4	2	2	2								2	2	2	2	2	2	2		2	2	9	2	1		2		2	2	3	3	2	1	2	3	2	2	1		2	2	3	1	1	3	58	2	2	1	1	2	9		5		5	1	1	2	1			1	3	1	2	2	1	2	61611			2	99								3	2	4	5	1	1	2.073170731707317	1	60906	1.0	3.0	0.0	1.0	0.0	0.0	1.0	5.0	2.0	5.0	2.0	0.402	96.5248	133863	0.8112772	54232	0.41	0.58	0.0	0.5	0.16666667	0.5	0.2	0.23437503	0.013599048	0.011120691	0.33384013	0.5584415	58.0	0.5	0.0	0.0	0.0	0.0
234	90606	217	17	"c"	2	17183	19180	"S"	2	1	2	2	8	1	4	1	2	1	2	3				4	1	2	1	10	2		5		1	9	1	1	2	1	9	1	3	1	1	2	3	2	2	1	2	1	1							2	9	9	2	9	9	2	4	2	4								9		9	3	1	1		2	9		9	3	3	2	3	2	3	1	1	9	2		1	3	1	2	1	81	6	2	1	4	2	1	9	5		2	1	1	3		2		1	2	1	2	3	1	4	61844			2	97				97			"THE STATE"	4	2	3	6	4	1	1	2	60906	2.0	4.0	0.0	1.0	0.0	1.0	0.0	2.0	6.0	2.0	2.0	0.43	83.0044	82033	12.786318	39456	0.44	0.56	0.25	0.75	0.8333333	0.125	0.2	0.34375003	0.008287008	0.17527017	0.17337619	0.53246754	81.0	0.125	0.0	0.0	0.0	0.0
562	90706	618	17	"c"	2	17191	0	"R"	3	1	1	1	1	2	2	1	3	4	3	3			3	3	1	1	1	10	1		4		1	2	3	2	3	1	2	2	2	3	1	2	2	1	1	2	1	1	3							1	1	1	1	1	1	1	1	1	1								1		3	1	1	1	2	1	1		2	4	2	1	2	1	2	1	1	2	2		2	1	2	3	1	41	7	2	1	1	1	1	1	1		6	1	1	1	1		3		2	1	1	1	1	1	62837	1	1	1	4	76		"INFLATIONS AND FUEL PRICES"	1			"THE WAR"	2	1	5	3	4	1	1.2682926829268293	4	60906	5.0	4.0	1.0	1.0	0.0	0.0	1.0	6.0	7.0	6.0	6.0	0.436	98.23697	16846	0.4986347	39207	0.26	0.74	1.0	0.75	1.0	0.625	1.0	0.36718744	0.0016060133	0.006835102	0.1706721	0.76623374	41.0	0.625	1.0	0.0	0.0	1.0
1355	90906	815	17	"c"	2	17201	40420	"U"	1	2	2	1	1	1	2		2	2			4	3	3	1	1	1	1	10	1			1	1	2	2	1	3	9	3	2	1	3	1	2	2							1	1	1	1	2	3	1	4	9								1	4	1	4	1	4	1		3	2	1	2	1	1	1		3	2	2	3	2	1	1	2	1	1	2		2	1	1	2	3	1	47	6	2	1	1	1	1	1	2		7	1	1	1	2		9		2	1	1	1	1	4	61102	2		1	60			"WAR IN IRAQ"					2	3	3	4	4	1	1.951219512195122	3	60906	4.0	4.0	0.0	1.0	0.0	0.0	0.0	7.0	6.0	7.0	5.0	0.438	81.047516	293972	12.060673	47198	0.49	0.5	0.75	0.75	0.8333333	0.75	0.8	0.37499997	0.030008567	0.16532329	0.25745252	0.45454544	47.0	0.75	0.0	0.0	0.0	0.0
815	90906	260	18	"e"	2	18001	0	"R"	3	2	2	1	1	1	9		3	4			3	2	2	3	1	1	1	10	1			9	1	9	3	1	1	9	9	1	1	4	2	2	2							2	1	1	1	2	1	1	1	1								1	1	1	1	1	1	1		1	9	1	2	1	9	2		2	9	2	9	9	9	1	2	9	1	2		2	9	1	3	3	3	37	6	2	1	1	1	7	1	1		10	1	1	1	1		9		1	1	1	9	9	9	99999			1	96			"RAISING OUR CHILDREN"					2	2	5	3	4	1	1.5365853658536586	3	60906	5.0	5.0	0.0	1.0	0.0	0.0	0.0		6.0	5.824124	6.0	0.383	96.96739	34162	0.34541303	43317	0.26	0.73	1.0	1.0	0.8333333	0.6030155	1.0	0.16015618	0.0033807245	0.0047347955	0.21530576	0.7532468	37.0			0.0	0.0	0.0
812	90906	260	18	"e"	2	18003	23060	"S"	2	1	1	2	1	2	1	1	3	2	3	3			4	1	1	1	1	10	2		4		2	1	2	2	2	1	3	2	4	3	1	3	3	2	3	2	1	1	3							2	1	1	2	4	2	1	1	2	2								1		3	2	1	1	2	2	2		2	3	2	2	1	2	3	1	2	2	3		1	2	3	3	3	44	7	2	1	1	1	9		5		6	1	1	2	2			1	3	1	2	1	1	4	46804	1	1	1	1	60		"THE ECONOMY, THE WAR IN IRAQ"	20			"THE ECONOMY"	2	3	5	3	4	1	1.7560975609756098	5	60906	2.0	3.0	1.0	1.0	0.0	0.0	0.0	6.0	7.0	6.0	2.0	0.424	80.37099	351332	11.687805	48714	0.36	0.63	0.25	0.5	1.0	0.625	0.2	0.32031247	0.035887375	0.16021216	0.27391592	0.6233766	44.0	0.625	0.0	0.0	0.0	1.0
813	90906	260	18	"e"	2	18003	23060	"S"	2	2	1	1	1	1	4		3	4			3	2	3	1	1	1	1	10	1			3	1	1	1	2	3	9	3	2	1	4	2	2	2							3	1	2	1	4	3	1	1	1								1	1	1	1	1	1	1		1	2	1	2	1	9	9		3	2	2	9	2	3	1	2	2	1	2		1	9	1	2	2	1	30	5	2	1	5	2	5	9	9		4	1	1	1	1		9		1	1	1	1	1	4	46808	1	1	1	96			"THE MEDIA"					2	3	5	2	3	1	4.439024390243903	10	60906	5.0	5.0	1.0	1.0	0.0	0.0	0.0	4.0	5.0	4.0	4.0	0.424	80.37099	351332	11.687805	48714	0.36	0.63	1.0	1.0	0.6666667	0.375	0.6	0.32031247	0.035887375	0.16021216	0.27391592	0.6233766	30.0	0.375	0.0	0.0	0.0	1.0
814	90906	260	18	"e"	2	18003	23060	"S"	2	2	1	9	1	1	2		3	3			3	3	3	3	2	3	2	4	1			2	1	1	2	2	3	2	3	2	2	2	2	2	2							1	2	1	1	2	1	4	1	1								1	9	9	4	1	9	1		1	9	1	2	1	3	1		1	2	2	3	2	3	1	2	1	1	2		2	1	1	2	3	1	37	3	2	1	1	2	1	1	2		8	1	1	1	1		3		2	1	1	1	1	4	46774			1	1			"economy"					2	3	5	3	2	1	2.902439024390244	14	60906	5.0	4.0	1.0	1.0	0.0	0.0	0.0	8.0	3.0	8.0	5.0	0.424	80.37099	351332	11.687805	48714	0.36	0.63	1.0	0.75	0.33333334	0.875	0.8	0.32031247	0.035887375	0.16021216	0.27391592	0.6233766	37.0	0.875	0.0	0.0	0.0	1.0
1340	91006	812	18	"e"	2	18005	18020	"U"	1	1	1	1	1	1	2	1	9	4	4	3			4	3	1	4	2	2	1		4		2	1	2	2	1	2	3	2	2	2	1	1	1	1	2	1	1	3	1							1	1	1	2	1	2	1	1	1	1								1		2	2	2	1	2	2	1		2	3	3	1	2	1	2	1	1	1	2		1	3	2	3	1	35	5	2	1	2	2	9		5		2	2		3		1	3		3	2		3	2	4	47201			2	88			"the hurricane"	99			"I DON;T WATHCH NEWS"	2	2	5	3	3	1	1.3170731707317074	6	60906	4.0	3.0	1.0	1.0	0.0	1.0	0.0	2.0	5.0	2.0	2.0	0.429	92.21146	75855	1.6966581	52742	0.32	0.67	0.75	0.5	0.6666667	0.125	0.2	0.33984372	0.007653827	0.02325717	0.31765908	0.6753247	35.0	0.125	1.0	0.0	0.0	1.0
1285	91006	765	18	"e"	2	18011	26900	"S"	2	2	1	2	1	9	2		2	4			2	2	4	3	1	2	1	7	9	9		1	9	2	1	1	2	1	3	1	2	1	2	2	4							2	1	4	4	3	2	2	2	9								2	2	2	2	9	2	9		2	2	2	9	1	3	2		2	2	3	3	9	2	2	3	1	2	2		2	2	3	3	3	3	83	3	2	1	1	2	1	2	2		10	1	1	3		2		1	2	8		3	1	4	46052	2		2	18			"MURDER"					4	2	5	6	2	1	1.2439024390243902	7	60906	2.0	4.0	1.0	1.0	0.0	1.0	0.0		3.0	4.451407	5.0	0.497	95.63654	54796	0.8997007	68594	0.25	0.74	0.25	0.75	0.33333334	0.43142587	0.8	0.6054688	0.0054954966	0.012332768	0.4898081	0.76623374	83.0			0.0	0.0	1.0
1286	90906	765	18	"e"	2	18015	29140	"S"	2	2	1	1	1	1	1		4	3			2	2	3	3	1	2	1	9	1			2	1	1	2	2	3	2	3	1	4	2	1	2	2							1	1	2	3	2	3	2	1	1								2	1	2	2	2	2	2		1	1	1	2	1	3	2		2	2	3	1	2	2	1	2	1	1	2		2	1	1	2	2	1	23	5	2	1	5	2	99		6		6	1	1	3		1	2		3	1	2	1	3	4	47905	2		2	1			"THE ECONOMY"					1	1	5	1	3	1	4.536585365853658	9	60906	4.0	3.0	1.0	1.0	0.0	0.0	0.0	6.0	5.0	6.0	1.0	0.386	97.41247	20135	0.52644646	48055	0.31	0.68	0.75	0.5	0.6666667	0.625	0.0	0.17187501	0.0019431019	0.0072163353	0.26675934	0.6883117	23.0	0.625	0.0	0.0	0.0	1.0
1089	90906	574	18	"e"	2	18017	0	"R"	3	2	2	2	9	9	2		4	4			4	3	4	3	2	5	9	6	2			2	9	9	3	1	2	9	9	1	9	2	3	3	3							3	1	1	1	4	2	9	2	9								9	2	2	9	9	2	2		9	9	3	1	1	9	3		2	9	3	3	1	1	2	3	9	2	9		9	9	3	9	1	2	19	5	2	1	5	2	1	9	5		8	9		2	2			1	3	2		2	3	4	46947			2	99								1	2	5	1	3	1	5.32	6	60907	2.0	3.0	0.0	1.0	0.0	0.0	0.0	8.0	5.0	8.0	2.0	0.393	90.637	39058	1.9227815	42587	0.31	0.68	0.25	0.5	0.6666667	0.875	0.2	0.19921876	0.003882514	0.026356785	0.20737812	0.6883117	19.0	0.875	1.0	0.0	0.0	0.0
1339	91006	812	18	"e"	2	18019	31140	"S"	2	2	2	2	1	1	2		1	3			1	1	1	3	1	2	1	8	2			1	2	2	1	1	2	1	2	1	4	1	1	1	1							1	1	2	2	1	3	2	2	2								2	2	2	2	2	2	2		2	9	2	2	2	3	2		2	2	2	1	2	2	1	4	2	1	1		3	2	3	1	1	2	48	5	2	1	4	2	1	2	1		6	1	1	2	2			1	3	1	2	1	1	4	47111			2	62			"WAR ON TERRO"					2	2	4	4	3	1	1.2195121951219512	5	60907	2.0	3.0	0.0	1.0	0.0	0.0	0.0	6.0	5.0	6.0	6.0	0.391	88.34989	107381	6.8708615	47368	0.42	0.58	0.25	0.5	0.6666667	0.625	1.0	0.19140625	0.010884916	0.09418326	0.25929868	0.5584415	48.0	0.625	0.0	0.0	0.0	0.0
661	90706	812	18	"e"	2	18021	45460	"S"	2	1	2	2	1	1	2	1	1	2	1	2			4	3	1	2	1	9	1		2		1	2	2	2	2	2	3	2	2	2	2	1	1	3	3	1	2	2	3							9	1	1	1	1	9	2	1	9	9								1		2	2	2	1	3	2	9		2	3	3	2	1	1	2	1	1	2	2		1	1	2	3	1	57	3	2	1	2	2	1	2	3		3	1	1	1	2		3		3	1	1	1	1	4	47834	1	1	2	60			"WAR IN IRAQ"	1	6		"WAR, GAS PRICES"	3	1	5	5	2	1	1.7073170731707317	1	60907	4.0	3.0	0.0	1.0	0.0	0.0	0.0	3.0	3.0	3.0	4.0	0.377	97.88385	26983	0.17788978	44666	0.31	0.68	0.75	0.5	0.33333334	0.25	0.6	0.13671875	0.0026449512	0.002438448	0.22995558	0.6883117	57.0	0.25	0.0	0.0	0.0	0.0
630	90706	765	18	"e"	2	18023	0	"R"	3	1	2	2	1	2	9	1	1	1	1	4			2	3	1	1	1	10	2		2		2	2	2	2	3	2	2	1	1	1	1	1	1	1	1	2	1	1	1							2	2	2	4	2	1	2	1	2	1								2		4	2	1	1	3	1	2		1	3	3	2	1	2	2	2	2	1	3		1	3	1	1	2	70	3	2	1	4	2	1	1	2		2	1	1	1	2		3		3	1	1	3	2	4	46041	2		2	43			"BUSH ( PRESIDENT)"	98			"FAKE POLICE..."	4	1	5	6	2	1	1.5609756097560976	1	60907	4.0	3.0	0.0	1.0	0.0	1.0	0.0	2.0	3.0	2.0	5.0	0.395	93.98557	33270	0.5229937	48416	0.28	0.71	0.75	0.5	0.33333334	0.125	0.8	0.20703128	0.0032893037	0.007169006	0.2706797	0.7272727	70.0	0.125	0.0	0.0	0.0	0.0
662	90706	812	18	"e"	2	18029	17140	"S"	2	1	2	2	1	2	1	1	2	1	2	3			3	1	1	1	1	10	2		1		2	2	3	1	2	1	3	1	4	1	1	2	2	1	2	1	1	2	1							2	2	2	2	2	2	2	4	2	2								2		3	2	1	1	4	1	1		1	4	3	1	1	2	4	2	2	1	3		2	3	1	1	3	57	6	2	1	1	2	1	2	4		7	1	1	2	1			1	4	1	2	1	1	2	47025	1	1	1	1			"OUR ECONOMY"	97			"LOCAL THINGS MOSTLY"	3	2	5	5	4	1	1	1	60907	1.0	2.0	0.0	1.0	0.0	0.0	1.0	7.0	6.0	7.0	3.0	0.372	97.726906	49580	0.5385236	56789	0.31	0.68	0.0	0.25	0.8333333	0.75	0.4	0.117187515	0.0049609104	0.007381885	0.36160854	0.6883117	57.0	0.75	1.0	0.0	0.0	0.0
